utt_id,prefix_seconds,clean_dns,clean_dns_full,anchor_dns,anchor_dns_full,arecho_dns,arecho_dns_full,delta_anchor_vs_clean,delta_anchor_vs_clean_full,delta_arecho_vs_clean,delta_arecho_vs_clean_full
fileid_134162__p002000,2,2.2393895125903036,2.2393895125903036,2.532496624886359,2.566990435577794,1.3574698774258431,,0.29310711229605557,0.32760092298749033,-0.8819196351644605,
fileid_210097__p002000,2,,,1.139229178396868,1.1050819589470753,1.4728107445863547,,,,,
fileid_213522__p002000,2,2.2107810889556703,2.2107810889556703,1.139229178396868,1.0979826890714457,1.6553081517645492,,-1.0715519105588023,-1.1127983998842246,-0.5554729371911211,
fileid_231257__p002000,2,,,2.33905517046609,2.1801044883189347,1.8254229189052373,,,,,
fileid_243432__p002000,2,2.6129405193919375,2.6129405193919375,2.4868633897095065,2.50074513121587,2.51490741576413,,-0.126077129682431,-0.11219538817606756,-0.0980331036278077,
fileid_246349__p002000,2,1.0737803556889738,1.0737803556889738,1.139229178396868,1.0658554550657893,1.0723790661630388,,0.0654488227078942,-0.007924900623184516,-0.00140128952593499,
fileid_29811__p002000,2,1.5577052141777876,1.5577052141777876,1.139229178396868,1.0979826890714457,1.5849459755670299,,-0.41847603578091963,-0.45972252510634193,0.027240761389242252,
fileid_306980__p002000,2,1.288291883016466,1.288291883016466,1.139229178396868,1.1119407456883643,1.3574698774258431,,-0.14906270461959803,-0.1763511373281017,0.06917799440937711,
fileid_313537__p002000,2,1.0839238053066884,1.0839238053066884,1.4514493439745877,1.6061153759472475,1.9495668063148022,,0.3675255386678993,0.5221915706405591,0.8656430010081138,
fileid_356984__p002000,2,1.9157534953400528,1.9157534953400528,2.1170152590103855,1.914404993512341,2.7434712627911653,,0.20126176367033266,-0.0013485018277117344,0.8277177674511125,
fileid_409272__p002000,2,1.4994212925211585,1.4994212925211585,2.032684310048387,1.9503808520016466,1.9495668063148022,,0.5332630175272286,0.45095955948048805,0.45014551379364365,
fileid_421490__p002000,2,1.5115749311923041,1.5115749311923041,1.139229178396868,1.8448062977302477,1.9495668063148022,,-0.37234575279543614,0.3332313665379436,0.43799187512249804,
fileid_42892__p002000,2,,,2.633601304863325,2.5893829857921133,2.51490741576413,,,,,
fileid_461033__p002000,2,2.293138593929188,2.293138593929188,2.532496624886359,2.50074513121587,2.51490741576413,,0.23935803095717123,0.207606537286682,0.22176882183494184,
fileid_464950__p002000,2,1.0693567546125964,1.0693567546125964,1.139229178396868,1.1050819589470753,1.3574698774258431,,0.06987242378427161,0.0357252043344789,0.28811312281324675,
fileid_501077__p002000,2,1.5198959354004482,1.5198959354004482,2.032684310048387,2.1801044883189347,1.9495668063148022,,0.5127883746479389,0.6602085529184865,0.42967087091435396,
fileid_519109__p002000,2,1.1880580125738156,1.1880580125738156,1.4514493439745877,1.7017061366343533,1.3574698774258431,,0.2633913314007721,0.5136481240605377,0.16941186485202753,
fileid_528909__p002000,2,1.3891600812129985,1.3891600812129985,1.139229178396868,1.1050819589470753,1.0723790661630388,,-0.2499309028161305,-0.2840781222659232,-0.3167810150499597,
fileid_532427__p002000,2,1.6115962492187774,1.6115962492187774,1.139229178396868,1.0979826890714457,1.4728107445863547,,-0.47236707082190943,-0.5136135601473317,-0.13878550463242267,
fileid_549708__p002000,2,1.0833423849900403,1.0833423849900403,1.139229178396868,1.08734989465313,1.3574698774258431,,0.05588679340682767,0.0040075096630896034,0.2741274924358028,
fileid_566647__p002000,2,2.434214017508178,2.434214017508178,2.4868633897095065,2.50074513121587,1.9495668063148022,,0.05264937220132859,0.06653111370769205,-0.4846472111933757,
fileid_571087__p002000,2,2.512376218191459,2.512376218191459,1.961464750681442,1.8448062977302477,1.9495668063148022,,-0.5509114675100169,-0.6675699204612111,-0.5628094118766567,
fileid_571738__p002000,2,,,1.7918044343266315,1.8448062977302477,1.8254229189052373,,,,,
fileid_601553__p002000,2,1.1218755001038296,1.1218755001038296,1.139229178396868,1.0979826890714457,1.3574698774258431,,0.017353678293038355,-0.023892811032383943,0.2355943773220135,
fileid_60736__p002000,2,1.1641548989721753,1.1641548989721753,1.139229178396868,1.1050819589470753,1.0723790661630388,,-0.024925720575307286,-0.059072940025099996,-0.09177583280913648,
fileid_661212__p002000,2,,,1.139229178396868,1.1050819589470753,1.5849459755670299,,,,,
fileid_71251__p002000,2,,,1.558457046195089,1.7017061366343533,2.2348783364986087,,,,,
fileid_717410__p002000,2,2.418300232696159,2.418300232696159,1.139229178396868,1.1119407456883643,1.3574698774258431,,-1.2790710542992911,-1.3063594870077948,-1.060830355270316,
